status,url
failed,https://www.naukri.com/job-listings-aws-devops-engineer-ascendion-engineering-kolkata-chennai-delhi-ncr-6-to-9-years-140624004802
failed,https://www.naukri.com/job-listings-aws-devops-engineer-vayuz-technologies-mumbai-gurugram-delhi-ncr-4-to-9-years-270524904814
failed,https://www.naukri.com/job-listings-aws-devops-engineer-tn-business-services-private-limited-gurugram-3-to-7-years-091122500522
failed,https://www.naukri.com/job-listings-aws-devops-engineer-huquo-consulting-gurugram-4-to-8-years-080624007013
failed,https://www.naukri.com/job-listings-aws-devops-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-7-years-180624502281
failed,https://www.naukri.com/job-listings-aws-devops-engineer-mnr-solutions-delhi-ncr-2-to-6-years-040624009874
failed,https://www.naukri.com/job-listings-aws-devops-engineer-greensturn-gurugram-1-to-3-years-040624009733
failed,https://www.naukri.com/job-listings-ims-aws-devops-ch-hexaware-technologies-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-9-years-160524502196
failed,https://www.naukri.com/job-listings-aws-devops-architect-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-10-years-030624503551
failed,https://www.naukri.com/job-listings-aws-devops-ipropal-allps-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-190624501953
failed,https://www.naukri.com/job-listings-aws-devops-engineer-infogain-noida-pune-bangalore-rural-3-to-6-years-040324002199
failed,https://www.naukri.com/job-listings-aws-devops-nextcomm-corporation-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-8-years-040624501324
failed,https://www.naukri.com/job-listings-aws-devops-engineer-ipropal-allps-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-190624501952
failed,https://www.naukri.com/job-listings-aws-devops-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-7-years-180624502281
failed,https://www.naukri.com/job-listings-aws-devops-engineer-freelancer-support-engineer-hatigen-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-6-years-240823502670
failed,https://www.naukri.com/job-listings-aws-devops-architect-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-10-years-030624503551
failed,https://www.naukri.com/job-listings-aws-devops-consultant-sopra-steria-noida-chennai-bengaluru-6-to-10-years-220524000081
failed,https://www.naukri.com/job-listings-aws-devops-engineer-kmccorp-india-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-12-years-220224501024
failed,https://www.naukri.com/job-listings-aws-devops-kmteq-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-9-years-030723501861
failed,https://www.naukri.com/job-listings-aws-devops-engineer-tn-business-services-private-limited-gurugram-3-to-7-years-091122500522
failed,https://www.naukri.com/job-listings-sr-aws-devops-engineers-bluespacelabs-gurugram-5-to-8-years-280722502957
failed,https://www.naukri.com/job-listings-devops-engineer-ipropal-allps-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-260424500944
failed,https://www.naukri.com/job-listings-aws-cloud-engineer-tata-consultancy-services-tcs-noida-gandhinagar-bangalore-rural-4-to-9-years-260523007433
failed,https://www.naukri.com/job-listings-aws-devops-engineer-mnr-solutions-delhi-ncr-2-to-6-years-040624009874
failed,https://www.naukri.com/job-listings-sre-devops-engineer-aws-certified-linux-gurgoan-phase-iii-team-plus-staffing-solution-gurugram-5-to-10-years-170624003143
failed,https://www.naukri.com/job-listings-devops-engineer-easemytrip-com-noida-gurugram-1-to-6-years-220424001633
failed,https://www.naukri.com/job-listings-opening-for-devops-engineer-it-mnc-for-bangalore-noida-location-acuity-it-solutions-noida-bengaluru-5-to-10-years-040624008568
failed,https://www.naukri.com/job-listings-devops-engineer-careerfit-ai-noida-gurugram-delhi-ncr-2-to-7-years-070624005953
failed,https://www.naukri.com/job-listings-aws-devops-engineer-gnxt-systems-noida-3-to-8-years-111120500046
failed,https://www.naukri.com/job-listings-hosting-operations-phiedge-talent-enhancers-gurugram-4-to-6-years-120624012330
failed,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-gurugram-5-to-7-years-090624901351
failed,https://www.naukri.com/job-listings-senior-devops-engineer-iqor-noida-8-to-12-years-050324009432
failed,https://www.naukri.com/job-listings-azure-net-fsd-professional-programming-com-mohali-dehradun-hyderabad-pune-panchkula-chennai-gurugram-bengaluru-5-to-5-years-110324501356
failed,https://www.naukri.com/job-listings-devops-engineer-ii-devops-developer-freshers-wfh-ramco-engineering-company-softwares-india-s-no-1-pune-delhi-ncr-mumbai-all-areas-0-to-2-years-260624011923
failed,https://www.naukri.com/job-listings-devops-engineer-ipropal-allps-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-190624502215
failed,https://www.naukri.com/job-listings-aws-senior-devops-pharmaforceiq-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-9-years-150323500328
failed,https://www.naukri.com/job-listings-aws-devops-professional-diverse-lynx-noida-9-to-12-years-181223500093
failed,https://www.naukri.com/job-listings-release-manager-iot-engineer-pentair-noida-6-to-11-years-160424005414
failed,https://www.naukri.com/job-listings-senior-software-engineer-senior-devops-engineer-altiux-innovations-pvt-ltd-gurugram-bengaluru-5-to-10-years-140324500231
failed,https://www.naukri.com/job-listings-devops-engineer-lynkit-new-delhi-4-to-8-years-250524000080
failed,https://www.naukri.com/job-listings-splunk-professional-forward-eye-technologies-mumbai-delhi-ncr-bengaluru-5-to-7-years-220624906512
failed,https://www.naukri.com/job-listings-infrastructure-engineer-accenture-solutions-pvt-ltd-noida-bengaluru-5-to-9-years-210624909901
failed,https://www.naukri.com/job-listings-ml-ops-cloud-exl-pune-bangalore-rural-gurugram-4-to-7-years-080324006714
failed,https://www.naukri.com/job-listings-nlp-python-cloud-generative-ai-llm-data-scientist-exl-noida-pune-bengaluru-5-to-10-years-070324011666
